course_id,user_id,role_in_course
1,1,instructor
1,2,student
1,3,student
1,4,student
1,5,student
1,6,student
1,7,student
1,8,student
1,9,student
1,10,student
1,11,student
1,12,student
1,13,student
1,14,student
1,15,student
1,16,student
1,17,student
1,18,student
1,19,student
1,20,student
1,21,student
1,22,student
1,23,student
1,24,student
1,25,student
1,26,student
1,27,student
1,28,student
1,29,student
1,30,student
1,31,student
1,32,student
1,33,student
1,34,student
1,35,student
1,36,student
1,37,student
1,38,student
1,39,student
1,40,student
1,41,student
1,42,student
1,43,student
1,44,student
1,45,student
1,46,student
1,47,student
1,48,student
1,49,student
1,50,student
1,51,student
1,52,student
1,53,student
1,54,student
1,55,student
1,56,student
1,57,student
1,58,student
1,59,student
1,60,student
1,61,student
1,62,student
1,63,student
1,64,student
1,65,student
1,66,student
1,67,student
1,68,student
1,69,student
1,70,student
1,71,student
2,72,instructor
2,73,student
2,74,student
2,75,student
2,76,student
2,77,student
2,78,student
2,79,student
2,80,student
2,81,student
2,82,student
2,83,student
2,84,student
2,85,student
2,86,student
2,87,student
2,88,student
2,89,student
2,90,student
2,91,student
2,92,student
2,93,student
2,94,student
2,95,student
2,96,student
2,97,student
2,98,student
2,99,student
2,100,student
2,101,student
2,102,student
2,103,student
2,104,student
2,105,student
2,106,student
2,107,student
2,108,student
2,109,student
2,110,student
2,111,student
2,112,student
2,113,student
2,114,student
2,115,student
2,116,student
2,117,student
2,118,student
2,119,student
2,120,student
2,121,student
2,122,student
2,123,student
2,124,student
2,125,student
2,126,student
2,127,student
2,128,student
2,129,student
2,130,student
2,131,student
3,132,instructor
3,133,student
3,134,student
3,135,student
3,136,student
3,137,student
3,138,student
3,139,student
3,140,student
3,141,student
3,142,student
3,143,student
3,144,student
3,145,student
3,146,student
3,147,student
3,148,student
3,149,student
3,150,student
3,151,student
3,152,student
3,153,student
3,154,student
3,155,student
3,156,student
3,157,student
3,158,student
3,159,student
3,160,student
3,161,student
3,162,student
3,163,student
3,164,student
3,165,student
3,166,student
3,167,student
3,168,student
3,169,student
3,170,student
3,171,student
3,172,student
3,173,student
3,174,student
4,175,instructor
4,176,student
4,177,student
4,178,student
4,179,student
4,180,student
4,181,student
4,182,student
4,183,student
4,184,student
4,185,student
4,186,student
4,187,student
4,188,student
4,189,student
4,190,student
4,191,student
4,192,student
4,193,student
4,194,student
4,195,student
4,196,student
4,197,student
4,198,student
4,199,student
4,200,student
4,201,student
4,202,student
4,203,student
4,204,student
4,205,student
4,206,student
4,207,student
4,208,student
4,209,student
4,210,student
4,211,student
4,212,student
4,213,student
4,214,student
4,215,student
4,216,student
4,217,student
4,218,student
5,219,instructor
5,220,student
5,221,student
5,222,student
5,223,student
5,224,student
5,225,student
5,226,student
5,227,student
5,228,student
5,229,student
5,230,student
5,231,student
5,232,student
5,233,student
5,234,student
5,235,student
5,236,student
5,237,student
5,238,student
5,239,student
5,240,student
5,241,student
5,242,student
5,243,student
5,244,student
5,245,student
5,246,student
5,247,student
5,248,student
5,249,student
6,250,instructor
6,251,student
6,252,student
6,253,student
6,254,student
6,255,student
6,256,student
6,257,student
6,258,student
6,259,student
6,260,student
6,261,student
6,262,student
6,263,student
6,264,student
6,265,student
6,266,student
6,267,student
6,268,student
6,269,student
6,270,student
6,271,student
6,272,student
6,273,student
6,274,student
6,275,student
6,276,student
6,277,student
6,278,student
6,279,student
6,280,student
6,281,student
6,282,student
6,283,student
6,284,student
6,285,student
6,286,student
6,287,student
6,288,student
6,289,student
6,290,student
6,291,student
6,292,student
