team_id,user_id
1,63
1,12
1,46
1,3
1,68
2,62
2,17
2,28
2,44
2,34
2,49
3,52
3,71
3,21
3,64
3,60
3,61
4,27
4,66
4,53
4,54
4,33
4,13
5,67
5,35
5,10
5,39
5,5
5,32
6,47
6,29
6,65
6,43
6,16
6,51
7,6
7,14
7,38
7,25
7,41
7,42
8,20
8,69
8,58
8,57
8,9
8,36
9,31
9,48
9,4
9,18
9,40
9,55
10,24
10,70
10,26
10,7
10,8
10,23
11,50
11,15
11,11
11,19
11,45
11,56
12,22
12,2
12,37
12,59
12,30
13,100
13,113
13,125
13,106
13,92
13,90
14,115
14,111
14,101
14,131
14,123
14,112
15,82
15,91
15,78
15,129
15,119
16,79
16,98
16,96
16,105
16,80
16,93
17,127
17,86
17,73
17,128
17,74
17,120
18,99
18,103
18,77
18,75
18,76
18,110
19,84
19,121
19,107
19,81
19,117
19,95
20,83
20,102
20,118
20,122
20,124
20,89
21,130
21,116
21,114
21,108
21,104
21,88
22,126
22,109
22,97
22,87
22,94
22,85
23,146
23,140
23,165
23,167
23,155
23,169
24,149
24,159
24,158
24,173
24,145
24,162
25,134
25,174
25,161
25,151
25,139
25,137
26,166
26,135
26,152
26,172
26,138
26,136
27,168
27,171
27,142
27,157
27,144
27,164
28,170
28,163
28,154
28,141
28,156
28,150
29,160
29,147
29,148
29,153
29,133
29,143
30,199
30,205
30,202
30,213
30,197
30,190
31,208
31,217
31,177
31,178
31,198
31,185
32,191
32,214
32,201
32,206
32,209
32,186
33,211
33,187
33,200
33,182
33,203
33,192
33,207
34,195
34,176
34,179
34,184
34,181
34,180
35,212
35,183
35,204
35,218
35,210
35,193
36,194
36,215
36,188
36,196
36,189
36,216
37,231
37,220
37,249
37,245
37,232
37,237
38,238
38,226
38,221
38,223
38,248
38,225
39,229
39,247
39,222
39,228
39,243
39,235
40,234
40,230
40,233
40,241
40,239
40,224
41,246
41,240
41,244
41,242
41,236
41,227
42,253
42,299
42,259
42,257
42,267
42,277
43,280
43,306
43,262
43,290
43,268
43,309
44,282
44,258
44,252
44,256
44,271
44,264
45,295
45,276
45,301
45,275
45,302
45,261
46,304
46,305
46,265
46,279
46,298
46,297
47,292
47,310
47,303
47,255
47,291
47,287
47,263
48,273
48,278
48,296
48,286
48,283
48,266
48,254
49,311
49,294
49,293
49,312
49,284
49,251
49,274
50,269
50,272
50,289
50,313
50,281
50,308
51,260
51,300
51,285
51,307
51,288
51,270
52,328
52,336
52,334
52,357
52,337
52,323
53,354
53,340
53,321
53,326
53,345
